kod;nazev;odkaz;volici;obalky;hlasy;ObËansk· demokratick· strana;ÿ·d n·roda - Vlasteneck· unie;CESTA ODPOVÃDN… SPOLE»NOSTI;»esk· str.soci·lnÏ demokrat.;RadostnÈ »esko;STAROSTOV… A NEZ¡VISLÕ;Komunistick· str.»ech a Moravy;Strana zelen˝ch;ROZUMNÕ-stop migraci,dikt·t.EU;Strana svobodn˝ch obËan˘;Blok proti islam.-Obran.domova;ObËansk· demokratick· aliance;»esk· pir·tsk· strana;Referendum o EvropskÈ unii;TOP 09;ANO 2011;Dobr· volba 2016;SPR-Republ.str.»sl. M.Sl·dka;K¯esù.demokr.unie-»s.str.lid.;»esk· strana n·rodnÏ soci·lnÌ;REALIST…;SPORTOVCI;DÏlnic.str.soci·lnÌ spravedl.;Svob.a p¯.dem.-T.Okamura (SPD);Strana Pr·v ObËan˘
589357;Bukov·;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589357&xvyber=7103;264;170;169;16;0;0;19;0;3;33;2;0;3;0;0;14;0;2;35;1;0;25;0;1;0;0;15;0
589365;»ehovice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589365&xvyber=7103;426;281;280;16;0;0;27;0;8;42;5;7;5;0;0;18;0;10;80;0;1;13;0;0;1;3;44;0
589381;»echy pod KosÌ¯em;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589381&xvyber=7103;814;512;512;25;1;0;66;1;20;79;7;7;6;0;0;31;2;7;140;0;0;47;0;0;0;3;70;0
589390;»elËice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589390&xvyber=7103;437;272;272;21;0;0;23;1;10;46;5;0;3;0;1;18;0;2;74;0;1;15;0;0;1;1;49;1
589403;»elechovice na HanÈ;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589403&xvyber=7103;1†063;649;642;49;0;1;45;0;63;76;2;3;0;1;0;43;0;15;198;0;2;32;0;1;0;6;103;2
589420;DÏtkovice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589420&xvyber=7103;427;284;281;19;0;0;12;0;6;47;2;4;4;1;0;38;0;2;82;0;0;36;0;2;0;1;25;0
589438;Dobrochov;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589438&xvyber=7103;270;172;170;13;0;0;14;1;7;13;5;2;3;0;0;13;0;5;51;0;1;17;0;0;0;0;25;0
589446;Dobromilice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589446&xvyber=7103;629;308;308;9;0;4;22;0;14;42;1;0;1;0;0;10;0;0;95;1;1;36;2;0;0;0;68;2
589454;Doloplazy;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589454&xvyber=7103;459;244;244;24;1;0;20;0;5;37;2;0;3;0;0;12;0;0;71;0;0;8;1;1;2;1;56;0
589462;Drahany;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589462&xvyber=7103;443;290;287;11;0;0;29;0;28;44;2;6;6;0;0;9;0;9;70;0;2;17;0;1;1;1;51;0
558419;Drûovice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=558419&xvyber=7103;1†139;748;742;78;1;0;42;3;40;45;4;6;5;0;9;60;0;15;275;0;2;38;0;4;1;5;102;7
589489;D¯evnovice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589489&xvyber=7103;380;220;219;6;0;0;15;0;4;28;1;1;0;0;0;24;0;2;68;0;0;32;0;0;0;0;38;0
